,frequency (rad/s),Amplitude (experimental),Amplitude (predicted)
145,7.0239728548960585,0.2341,0.19292525218594297
146,7.020831262242469,0.2376,0.1931966163909232
147,7.021459580773187,0.2429,0.1931422924334765
148,7.016433032527444,0.2398,0.1935776016654872
149,6.99946843219806,0.2416,0.19505897302804054
150,6.998840113667341,0.2413,0.19511420315738612
151,6.998211795136623,0.2397,0.1951694594959414
152,6.982503831868674,0.2438,0.19655943857909106
153,6.9856454245222634,0.2422,0.19628011787732008
154,6.967424187131443,0.2438,0.19790950308466626
155,6.9623976388857,0.2459,0.19836298376267053
156,6.947946312679186,0.2423,0.1996764977743023
157,6.949202949740623,0.2514,0.199561700557206
158,6.941663127372007,0.248,0.2002521496831627
159,6.924698527042622,0.2508,0.20182040408678387
160,6.918415341735442,0.2487,0.20240647910290374
161,6.9152737490818526,0.2534,0.2027005892317382
162,6.915902067612571,0.25,0.2026417098120293
163,6.9039640155289295,0.2556,0.20376535250699915
164,6.8989374672831865,0.2504,0.20424160033833563
165,6.893910919037442,0.2552,0.2047197213609306
166,6.883229504015236,0.2559,0.2057419967320135
167,6.884486141076672,0.2524,0.20562128417107725
168,6.882601185484519,0.2592,0.20580239768919206
169,6.877574637238776,0.2591,0.20628668038668468
170,6.863123311032262,0.2586,0.20768972030322505
171,6.856840125725082,0.2555,0.20830475121885791
172,6.853070214540775,0.2607,0.20867524187726963
173,6.845530392172159,0.2666,0.2094195577041504
174,6.842388799518569,0.2539,0.2097310087433863
175,6.83924720686498,0.2692,0.2100432400347575
176,6.82982242890421,0.2656,0.21098464367857164
177,6.816627739759133,0.2606,0.2123145954634691
178,6.812229510044108,0.2637,0.21276105285493238
179,6.81160119151339,0.2691,0.21282496155410618
180,6.8002914579604665,0.2703,0.2139808709704512
181,6.797149865306877,0.2681,0.2143038350476543
182,6.781441902038927,0.2659,0.21593104859157902
183,6.7726454426088765,0.2721,0.2168514082738483
184,6.76510562024026,0.2714,0.21764556519877934
185,6.760079071994517,0.2721,0.21817773219307154
186,6.742486153134414,0.2782,0.2200577154297768
187,6.73117641958149,0.2789,0.22128076117358614
188,6.715468456313541,0.2774,0.2229985783060893
189,6.7123268636599525,0.2765,0.22334484510649302
190,6.707928633944927,0.2802,0.22383114666273188
191,6.696618900392004,0.2752,0.22508988457468476
192,6.695362263330567,0.279,0.2252304825387424
193,6.6853091668390805,0.2849,0.22636063000476345
194,6.677769344470464,0.2861,0.22721454627703744
195,6.689707396554105,0.2799,0.22586501388570576
196,6.684680848308362,0.2789,0.22643158236442393
197,6.679654300062618,0.2883,0.2270005572696985
198,6.671486159163285,0.2812,0.22793031206274633
199,6.673371114755438,0.2853,0.22771518245283787
200,6.6633180182639515,0.2881,0.2288665244309133
201,6.659548107079644,0.2961,0.22930081837498995
202,6.65766315148749,0.2878,0.22951848838054922
203,6.64195518821954,0.2882,0.2313460846474407
204,6.631902091728054,0.2976,0.23252871264510167
205,6.620592358175131,0.2938,0.23387145226471304
206,6.6086543060914895,0.2869,0.23530309431669397
207,6.5973445725385655,0.2959,0.23667313613287863
208,6.5816366092706176,0.2979,0.23859853000477377
209,6.577866698086308,0.301,0.2390645783950743
210,6.572840149840565,0.301,0.23968838177836224
211,6.561530416287642,0.3031,0.24110207705885864
212,6.561530416287642,0.2997,0.24110207705885864
