"Time (s) Run #16","Angle, Ch P1 (rad) Run #16","Angle, Ch P2 (rad) Run #16","AngleAmp (rad) Run #16","DrivingFrequency (Hz) Run #16","freq (Hz) Run #16","AngVel (rad/s) Run #16","DriverAngleVel (rad/s) Run #16"
4.920,-0.228,0.774,,,,-1.1650,5.6941
4.940,-0.251,0.888,,,,-1.0472,5.3538
4.960,-0.270,0.991,,,,-0.9032,4.8564
4.980,-0.287,1.084,,,,-0.7330,4.2019
5.000,-0.300,1.161,,,,-0.5498,3.4296
5.020,-0.309,1.222,,,,-0.3403,2.5525
5.040,-0.314,1.264,,,,-0.1309,1.6101
5.060,-0.314,1.286,,,,0.0785,0.6152
5.080,-0.311,1.290,,1.2500,1.2537,0.2880,-0.4189
5.100,-0.303,1.271,,,,0.4974,-1.4530
5.120,-0.291,1.230,,,,0.6938,-2.4347
5.140,-0.275,1.172,,,,0.8639,-3.3118
5.160,-0.256,1.096,,,,1.0210,-4.0841
5.180,-0.234,1.007,,,,1.1519,-4.7517
5.200,-0.209,0.905,,,,1.2566,-5.2753
5.220,-0.184,0.793,,,,1.3221,-5.6418
5.240,-0.156,0.677,,,,1.3614,-5.8512
5.260,-0.129,0.558,,,,1.3614,-5.9167
5.280,-0.101,0.438,,,,1.3221,-5.8381
5.300,-0.075,0.322,,,,1.2697,-5.6156
5.320,-0.050,0.212,,,,1.1781,-5.2753
5.340,-0.027,0.110,,,,1.0603,-4.8302
5.360,-0.008,0.017,,,,0.9032,-4.2804
5.380,0.009,-0.063,,,,0.7330,-3.6390
5.400,0.022,-0.129,,,,0.5629,-2.9191
5.420,0.031,-0.181,,,,0.3665,-2.1468
5.440,0.038,-0.215,0.1781,,,0.1571,-1.3352
5.460,0.038,-0.234,,,,-0.0524,-0.4974
5.480,0.035,-0.236,,,,-0.2487,0.3534
5.500,0.028,-0.220,,,,-0.4451,1.2043
5.520,0.017,-0.187,,,,-0.6414,2.0420
5.540,0.002,-0.138,,,,-0.8247,2.8405
5.560,-0.016,-0.072,,,,-0.9817,3.5736
5.580,-0.038,0.006,,,,-1.1126,4.2019
5.600,-0.061,0.097,,,,-1.2043,4.7517
5.620,-0.086,0.196,,,,-1.2697,5.2229
5.640,-0.112,0.308,,,,-1.3221,5.5894
5.660,-0.140,0.423,,,,-1.3352,5.8250
5.680,-0.167,0.542,,,,-1.3090,5.9167
5.700,-0.192,0.661,,,,-1.2566,5.8774
5.720,-0.217,0.779,,,,-1.1912,5.6811
5.740,-0.240,0.891,,,,-1.0865,5.3407
5.760,-0.261,0.994,,,,-0.9294,4.8302
5.780,-0.278,1.087,,,,-0.7592,4.1888
5.800,-0.291,1.162,,,,-0.5760,3.4165
5.820,-0.302,1.225,,,,-0.3796,2.5395
5.840,-0.306,1.266,,,,-0.1702,1.5708
5.860,-0.308,1.288,,1.2821,1.2534,0.0524,0.5498
5.880,-0.305,1.288,,,,0.2618,-0.4581
5.900,-0.297,1.269,,,,0.4581,-1.4661
5.920,-0.286,1.230,,,,0.6414,-2.4347
5.940,-0.272,1.170,,,,0.8116,-3.3379
5.960,-0.253,1.095,,,,0.9687,-4.1233
5.980,-0.232,1.004,,,,1.0996,-4.7778
6.000,-0.209,0.902,,,,1.2043,-5.2884
6.020,-0.184,0.790,,,,1.2828,-5.6549
6.040,-0.157,0.674,,,,1.3221,-5.8643
6.060,-0.130,0.553,,,,1.3221,-5.9167
6.080,-0.104,0.435,,,,1.2828,-5.8250
